id;budget_item_id;amount;description;invoice_url;status;claimed_by;approved_by;expense_date;created_at;updated_at;budget_master_id;gst_amount;is_correction;correction_reason;correction_requested_at;correction_approved_at;correction_completed_at;tds_percentage;tds_amount
6d220afa-f230-4204-9d40-e667118a7a0a;;171639.00;Historical expense for Sewage Tanker + Hauling - october 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-10-15;2025-11-23 09:14:42.782838+00;2025-11-23 09:14:42.782838+00;b409c8ed-ef93-4a7a-84fe-d1e8d40dc26b;0;false;;;;;0;0
892552a6-1f37-48e3-a82b-6f3cf3ae2ace;;231400.00;Historical expense for Consumable Fuel (Diesel) - may 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-05-15;2025-11-23 09:14:43.004383+00;2025-11-23 09:14:43.004383+00;447e4dc1-e088-49ce-a61f-46c1d041f75b;0;false;;;;;0;0
6f8179e6-38c4-4c46-972a-b39b013f358b;;138840.00;Historical expense for Consumable Fuel (Diesel) - june 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-06-15;2025-11-23 09:14:43.25575+00;2025-11-23 09:14:43.25575+00;447e4dc1-e088-49ce-a61f-46c1d041f75b;0;false;;;;;0;0
853ecd64-7a4c-46f1-a8be-1d72cd0ae45c;;185120.00;Historical expense for Consumable Fuel (Diesel) - july 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-07-15;2025-11-23 09:14:43.506222+00;2025-11-23 09:14:43.506222+00;447e4dc1-e088-49ce-a61f-46c1d041f75b;0;false;;;;;0;0
230dae78-fd61-4797-8b8c-afafe9d7ff9b;;280189.80;Historical expense for Consumable Fuel (Diesel) - september 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-09-15;2025-11-23 09:14:43.768173+00;2025-11-23 09:14:43.768173+00;447e4dc1-e088-49ce-a61f-46c1d041f75b;0;false;;;;;0;0
bf956c81-a607-4703-b109-d582f2f6fc07;;915934.17;Historical expense for Lifts - april 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-04-15;2025-11-23 09:14:44.001495+00;2025-11-23 09:14:44.001495+00;98e2d401-09c9-4d74-9af6-88aa62299fa5;0;false;;;;;0;0
204a578c-335a-4245-8b60-4ad720e41c5c;;915934.17;Historical expense for Lifts - may 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-05-15;2025-11-23 09:14:44.246196+00;2025-11-23 09:14:44.246196+00;98e2d401-09c9-4d74-9af6-88aa62299fa5;0;false;;;;;0;0
f3f908d4-e0b5-4973-adde-72322bb83285;;915934.17;Historical expense for Lifts - june 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-06-15;2025-11-23 09:14:44.488359+00;2025-11-23 09:14:44.488359+00;98e2d401-09c9-4d74-9af6-88aa62299fa5;0;false;;;;;0;0
7de38d2d-4cee-4a7a-b305-4dbd7329213c;;915934.17;Historical expense for Lifts - july 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-07-15;2025-11-23 09:14:44.732109+00;2025-11-23 09:14:44.732109+00;98e2d401-09c9-4d74-9af6-88aa62299fa5;0;false;;;;;0;0
afbe65af-d03b-499e-a3a6-d54996992ef0;;915934.17;Historical expense for Lifts - august 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-08-15;2025-11-23 09:14:44.972647+00;2025-11-23 09:14:44.972647+00;98e2d401-09c9-4d74-9af6-88aa62299fa5;0;false;;;;;0;0
18cd4dc7-6848-4a60-9440-e2f84ff4bd0d;;915934.17;Historical expense for Lifts - september 2025;;approved;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;73a0db7e-c07e-44a0-b86f-365afe2fc0d3;2025-09-15;2025-11-23 09:14:45.216453+00;2025-11-23 09:14:45.216453+00;98e2d401-09c9-4d74-9af6-88aa62299fa5;0;false;;;;;0;0
